L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
0.65,0.0,14282407595,17.31,40641688126,14271071864,40454679630,17043047563,16936807944,12.51,17.34,2
0.74,0.0,14806428938,19.17,42758790328,14798948367,43119181038,17935345807,17878576479,12.75,19.21,2
0.75,0.0,15099398461,19.39,42919228752,15201806783,45378074053,18080223357,18307240795,12.83,19.43,2
0.74,0.0,14937329775,18.78,42014958999,14886229961,43586439430,17696731903,17725189299,12.66,18.82,2
0.8,0.0,15414393084,20.78,43453882330,15299020368,47114875061,18569591547,18823064035,13.02,20.84,2
0.85,0.0,15680060614,21.59,43357858099,15854023104,49992645299,18526144571,18671088093,13.49,21.66,2
0.92,0.01,15770990906,21.57,43517989953,15580812164,50156551925,18526084200,18300735139,13.37,21.64,2
0.93,0.01,16548829932,25.01,44850413815,16440822655,56629711404,20220606621,20326909328,13.9,25.09,2
0.93,0.01,15569769367,22.03,43137684093,15549733005,50698508002,18461985784,18383842534,13.69,22.12,2
0.98,0.01,16872404814,25.75,45335744973,16478497724,58416030920,20163676922,20336724746,14.4,25.85,2
1.11,0.01,17928822716,29.62,47002397670,17491690623,67277329036,21590183232,21502475141,14.96,29.74,2
1.14,0.01,18008537413,32.32,47002398051,17745383394,72986370344,22074807677,21925141426,15.77,32.47,2
0.94,0.01,15953190624,24.11,42667019192,15802335815,55490560892,18702789165,18651466775,14.12,24.22,2
1.0,0.01,17589775532,28.27,46408431854,17231934842,64176284098,20687084422,20809140269,14.76,28.39,2
1.08,0.0,8459410583,11.53,30510162020,8575003328,25668968659,14075455587,13613095463,9.13,11.54,0
1.11,0.0,8780683787,12.14,30811482035,8817624439,27297968085,14173971486,14055804538,9.29,12.15,0
1.08,0.0,9295914599,12.83,31613813491,9077333443,29077406130,14733461920,14788205190,9.52,12.84,0
1.14,0.0,8734584063,11.47,31461621510,8717675061,26930978733,14121130247,14135261171,8.97,11.48,0
1.17,0.0,8553439357,11.89,31088120602,8604980477,27171404654,13932818650,14099962484,9.48,11.9,0
